title,description,content,category,tags,status,views
API Documentation Standards,Engineering standards for writing and maintaining API documentation.,All public APIs must have OpenAPI 3.0 compliant documentation. Document every endpoint with description parameters request body and response schemas. Include example requests and responses. Mark deprecated endpoints with a deprecation date. Version your APIs using URL path versioning such as /v1/. Update documentation as part of every PR that changes API behaviour. Use the internal API portal to publish docs.,Engineering,"api,documentation,standards",published,934
Benefits Enrollment Guide,How to enroll in or change health dental and vision benefits.,Open enrollment occurs each November for the following calendar year. Log in to BenefitsFocus at benefits.company.com. Review your current coverage and make changes during the enrollment window. Qualifying life events such as marriage or new dependents allow changes outside open enrollment. Submit documentation within 30 days of the qualifying event. Contact HR at hr@company.com for assistance. Benefit changes take effect January 1st or the first of the month after a qualifying event.,HR Policies,"benefits,enrollment,health",published,2034
Incident Response Playbook,Steps to follow when a security incident is detected or suspected.,Step 1 Identify: Document what you observed including timestamps and affected systems. Step 2 Contain: Isolate affected systems from the network if possible. Step 3 Report: Immediately notify security@company.com and your manager. Step 4 Assess: Work with the security team to determine scope and impact. Step 5 Eradicate: Remove the threat and patch vulnerabilities. Step 6 Recover: Restore systems from clean backups. Step 7 Post-Mortem: Document lessons learned within 5 business days.,Security,"incident-response,security,playbook",published,765
Code Review Guidelines,Best practices for reviewing and providing feedback on pull requests.,Code reviews improve quality and share knowledge. Reviewers should focus on logic correctness performance and security not style (use linters for that). Provide specific actionable feedback. Avoid personal criticism. Approve if the code is good enough even if not perfect. Authors should respond to all comments before merging. Reviews should be completed within 1 business day. Use the Conventional Comments format for structured feedback.,Engineering,"code-review,pr,engineering",published,1543
Travel Booking and Policy,How to book business travel and understand reimbursable expenses.,Book all business travel through Concur Travel. Flights should be economy class for domestic and premium economy for international over 6 hours. Book hotels through preferred vendors for negotiated rates. Car rentals require collision damage waiver coverage. Per diem rates are based on the GSA schedule for domestic travel. Submit all travel expenses within 30 days of return. Pre-approval is required for international travel and any trip over $1000.,Finance,"travel,booking,reimbursement",published,1087
Docker and Container Best Practices,Guidelines for building and running containerized applications.,Use official base images and pin to specific versions. Keep images small using multi-stage builds. Never run containers as root. Store secrets in environment variables or a secrets manager not in images. Health checks should be defined for all production containers. Use .dockerignore to exclude unnecessary files. Tag images with the git commit SHA. Scan images for vulnerabilities using Trivy as part of CI.,Engineering,"docker,containers,devops",published,1298
New Employee Benefits Overview,Summary of all benefits available to employees from day one.,From Day 1 you receive health dental and vision insurance. Health plan options include PPO HMO and HDHP. The company contributes 80% of premiums. 401k with 4% company match vests immediately. Life insurance at 2x annual salary. EAP counseling services 8 free sessions per year. Gym reimbursement up to $50 per month. Learning budget of $2000 per year. Commuter benefits up to $315 per month pre-tax.,Onboarding,"benefits,onboarding,new-hire",published,1876
Phishing Email Recognition Guide,How to identify and report phishing and social engineering attempts.,Phishing emails often display urgency and threaten account suspension. Check the sender email domain carefully for spoofing. Hover over links to preview the URL before clicking. Legitimate companies never ask for passwords via email. Be wary of unexpected attachments especially ZIP and Office files with macros. If in doubt forward the email to phishing@company.com. Do not click any links or download attachments from suspicious messages.,Security,"phishing,security,awareness",published,2341
Database Backup and Recovery Procedures,Standard operating procedures for database backups and disaster recovery.,Production databases are backed up daily with full backups on Sundays and incrementals Monday through Saturday. Backups are stored in S3 with cross-region replication. Retention is 30 days for daily backups and 1 year for monthly snapshots. Recovery time objective is 4 hours. Test restores are performed quarterly. For a recovery request open a Sev-1 helpdesk ticket. DBA on-call handles all production recovery events.,IT Infrastructure,"database,backup,disaster-recovery",published,643
Workplace Harassment Prevention Policy,Company policy on preventing and reporting workplace harassment.,The company maintains a zero-tolerance policy for harassment of any kind. Harassment includes verbal physical and visual conduct that creates a hostile work environment. Report incidents to HR directly or via the anonymous hotline at 1-800-555-0199. All reports are investigated promptly and confidentially. Retaliation against anyone who reports harassment is prohibited. Managers who witness harassment must report it. Annual training is mandatory for all employees.,HR Policies,"harassment,policy,hr",published,987
Kubernetes Cluster Management Guide,Operational guide for managing production Kubernetes clusters.,Use kubectl with the approved kubeconfig context for your environment. Never run kubectl delete on production without a change request. Monitor cluster health via the Grafana dashboard at grafana.internal. Node autoscaling is enabled with min 3 max 20 nodes per availability zone. Deploy using Helm charts versioned in the platform repository. Log aggregation uses the ELK stack. Runbooks for common incidents are in the Engineering Wiki.,Engineering,"kubernetes,devops,infrastructure",published,876
Product Launch Checklist,Steps required before launching a new product or major feature.,Two weeks before launch: complete user acceptance testing. finalize documentation and help articles. One week before: send launch announcement to internal stakeholders. prepare customer communication. Confirm monitoring alerts are configured. Day of launch: deploy during off-peak hours. monitor error rates for 2 hours post-deploy. Confirm feature flags are enabled for target segments. Post-launch: review metrics at 24h and 7d. Conduct retrospective within 2 weeks.,Product,"launch,checklist,product",published,1432
Finance Month-End Close Process,Steps the finance team follows to close the books each month.,The month-end close follows a 5-day schedule. Day 1: Record all journal entries and accruals. Day 2: Reconcile all balance sheet accounts. Day 3: Review P&L for anomalies and obtain department sign-offs. Day 4: Consolidate subsidiaries and intercompany eliminations. Day 5: Finalize trial balance and submit management reports. All non-standard journal entries require controller approval. Close calendar is distributed by the CFO office on the first of each month.,Finance,"finance,close,accounting",published,543
SSL Certificate Management,How to manage renew and monitor SSL/TLS certificates.,All SSL certificates are managed in CertManager. Certificates expire alerts fire at 30 days and 7 days. Renew certificates using the automated script in the devops repository. For certificates requiring manual renewal open a change request ticket 60 days before expiry. Wildcard certificates require CISO approval. Store private keys in HashiCorp Vault never in code repositories. Run the certificate inventory script quarterly to ensure no expirations are missed.,IT Infrastructure,"ssl,certificates,security",published,765
Agile Sprint Planning Guide,How to run effective sprint planning meetings and estimate work.,Sprint planning occurs every two weeks on Monday morning. The team reviews the product backlog and selects items for the sprint. Stories are estimated using story points with the Fibonacci scale. Use planning poker to achieve consensus. Velocity is the average of the last 3 sprints. Do not over-commit: use 80% of velocity as the sprint target. Define the sprint goal before ending the meeting. Planning should not exceed 2 hours for a 2-week sprint.,Engineering,"agile,sprint,planning",published,1654
Company Code of Conduct,Standards of professional behaviour expected of all employees.,Employees are expected to act with integrity honesty and respect. Conflicts of interest must be disclosed to HR immediately. Do not accept gifts valued over $50 from vendors or clients. Company assets including equipment and time must not be used for personal gain. Confidential information must be protected. Violations of the code of conduct may result in disciplinary action up to and including termination. Report concerns to your manager HR or the ethics hotline.,HR Policies,"conduct,ethics,policy",published,2109
Monitoring and Alerting Setup,Guide to configuring monitoring and alerts for production services.,All production services must have health check endpoints. Configure Prometheus scraping in the service manifest. Alerts are managed in PagerDuty. On-call rotation is managed via the PagerDuty schedule. Critical alerts page immediately. Warning alerts create a ticket in Jira. Set up dashboards in Grafana for each service. Alert thresholds: error rate above 1% CPU above 80% memory above 90% latency p99 above 2 seconds.,Engineering,"monitoring,alerting,devops",published,987
Employee Stock Options (ESOP) Guide,How the employee stock option plan works including vesting and exercise.,All full-time employees receive stock options at hire. The standard grant vests over 4 years with a 1-year cliff. Your option grant and strike price are in your offer letter. Options can be exercised within 90 days of leaving the company. Log in to Carta to view your equity dashboard. Consult a tax advisor before exercising options as tax implications vary. Annual grants are made at the Q1 board meeting based on performance.,Finance,"stock,options,equity",published,1876
Disaster Recovery Plan,Business continuity and disaster recovery procedures for critical systems.,RPO and RTO targets are defined per service tier. Tier 1 critical systems have 1-hour RTO and 15-minute RPO. Tier 2 important systems have 4-hour RTO and 1-hour RPO. Tier 3 non-critical have 24-hour RTO. DR drills are conducted quarterly. Failover to the secondary region is automated for Tier 1 services. DR runbooks are maintained in Confluence. The DR coordinator role rotates monthly among senior engineers.,IT Infrastructure,"disaster-recovery,business-continuity,dr",published,654
Hiring Manager Interview Guide,How to conduct structured interviews and evaluate candidates fairly.,All interviews must use structured behavioural questions from the approved question bank. Avoid questions about age family status religion or other protected characteristics. Score candidates on a 1-4 scale for each competency. Debrief within 24 hours of interviews while feedback is fresh. Use the Greenhouse platform to record all feedback. Hiring decisions must be unanimous among core interviewers. Extend offers through the recruiter never directly to the candidate.,HR Policies,"hiring,interview,recruitment",published,1234
Feature Flag Management,How to use and manage feature flags in production applications.,Feature flags are managed via LaunchDarkly. Create flags using the naming convention project_feature_description. Always clean up flags within 30 days of full rollout. Never hard-code flag keys in client code use the SDK constants. Test flag variations in staging before production. Use percentage rollouts for gradual releases. Monitor flag usage with the LaunchDarkly dashboard. Document the purpose and owner of every flag.,Product,"feature-flags,product,deployment",published,876
Payroll Processing Schedule,Dates and procedures for the bi-weekly payroll cycle.,Payroll is processed bi-weekly on Fridays. The pay period ends on Sunday and is processed Wednesday for Friday deposit. Submit timesheets by Monday 5pm for the previous pay period. Corrections to missed time must be submitted as a Payroll Adjustment form to HR. Direct deposit takes effect within 2 banking days. Off-cycle payrolls for terminations are processed within 3 business days. Contact payroll@company.com for any discrepancies.,Finance,"payroll,hr,compensation",published,1543
Zero Trust Network Architecture,Overview of the company zero trust security model and implementation.,Zero Trust assumes no implicit trust for any user or device on any network. All access requires authentication even on the corporate network. We implement Zero Trust via BeyondCorp principles. Devices must be enrolled in MDM to access corporate resources. Application access is granted by role using our IAM platform. Network segmentation prevents lateral movement. All traffic is encrypted in transit. Anomalous access patterns trigger automated alerts.,Security,"zero-trust,network,security",published,765
Onboarding Week 1 IT Setup,Detailed IT setup steps for your first week at the company.,Day 1 Morning: Collect your laptop from IT on floor 3. Sign the equipment form. Day 1 Afternoon: Run the company setup script from the IT portal. This installs required software and configures your machine policies. Day 2: Set up your corporate email in Outlook and configure MFA. Day 3: Connect to the corporate VPN. Install Slack and join your team channels. Day 4: Set up access to GitHub Jira and Confluence using SSO. Day 5: Complete the IT security training module in the LMS.,Onboarding,"it-setup,onboarding,new-hire",published,2987
Microservices Design Principles,Guidelines for designing and building microservices at the company.,Each service owns its data and has a single responsibility. Services communicate via REST or gRPC. Use async messaging via Kafka for event-driven patterns. Services must expose health readiness and liveness endpoints. Design for failure using circuit breakers and retries with exponential backoff. Version APIs and maintain backward compatibility. Each service has its own deployment pipeline. Service mesh (Istio) handles mTLS between services.,Engineering,"microservices,architecture,design",published,1432
Acceptable Use Policy for Company Equipment,Rules governing the use of company-issued devices and systems.,Company equipment is provided for business use. Limited personal use is permitted. Do not install unauthorized software. Do not disable security tools including antivirus and MDM. Equipment must not be lent to third parties. Report lost or stolen devices to IT immediately via the security hotline. All company devices are subject to monitoring. Data on company devices is company property. Remote wipe may be performed on lost devices without notice.,Security,"aup,policy,equipment",published,1098
Product Feedback and Feature Requests,How customers and employees can submit product feedback and feature requests.,Submit feature requests via the product feedback portal at feedback.company.com. Internal employees use the #product-feedback Slack channel. Requests are reviewed weekly by the product team. Upvote existing requests rather than creating duplicates. High-vote requests are added to the product backlog for consideration. You will be notified when your request changes status. Customer-facing requests from sales are escalated via the Customer Success team.,Product,"feedback,feature-request,product",published,654
Secure Coding Practices,Developer guidelines for writing secure code and avoiding common vulnerabilities.,Validate all input on the server side never trust client data. Use parameterized queries to prevent SQL injection. Encode output to prevent XSS. Store passwords using bcrypt with cost factor 12 or higher. Implement CSRF protection on all state-changing endpoints. Use HTTPS everywhere. Apply principle of least privilege for service accounts. Conduct security code reviews for authentication authorization and data handling code. Run OWASP dependency checks in CI.,Engineering,"security,coding,owasp",published,1876
Accounts Payable Process,How to submit and approve vendor invoices for payment.,Submit vendor invoices to ap@company.com with the PO number in the subject line. Invoices without a valid PO will be returned. Three-way matching: invoice must match PO and goods receipt. Approval thresholds: under $5000 manager approval. $5000-$50000 director approval. Over $50000 VP and Finance approval. Payment terms are Net 30 by default. Preferred vendors receive Net 45 with 2% early payment discount. Run the AP aging report weekly to identify overdue items.,Finance,"accounts-payable,finance,invoices",published,543
Cloud Cost Optimization Guide,Strategies for managing and reducing cloud infrastructure costs.,Review the monthly AWS Cost Explorer report shared by FinOps. Rightsize EC2 instances using the Compute Optimizer recommendations. Delete unattached EBS volumes and unused Elastic IPs monthly. Use Reserved Instances for stable workloads to save up to 40%. Enable S3 Intelligent-Tiering for infrequently accessed data. Set budget alerts in AWS Budgets. All new cloud resources require tagging with project environment and owner. FinOps reviews are held quarterly.,IT Infrastructure,"cloud,cost,aws",published,987
Diversity Equity and Inclusion Policy,Company commitment to building a diverse and inclusive workplace.,The company is committed to equal opportunity employment. We do not discriminate based on race gender age sexual orientation disability or any other protected characteristic. ERGs (Employee Resource Groups) are supported by executive sponsors. Unconscious bias training is required annually. Compensation equity audits are conducted annually. Report DEI concerns to HR or the anonymous hotline. The DEI dashboard is published to all employees quarterly.,HR Policies,"dei,diversity,inclusion",published,1234
CI/CD Pipeline Overview,How the continuous integration and deployment pipeline works.,Code pushed to a feature branch triggers unit tests and linting. Merging to main triggers the full pipeline including integration tests security scans and build. Deployment to staging is automatic on main merge. Production deployments require a manual approval gate in GitHub Actions. Deployments use blue-green strategy for zero downtime. Rollback is triggered automatically if error rate exceeds 2% post-deploy. Deployment logs are retained for 90 days.,Engineering,"cicd,devops,deployment",published,1654
Customer Data Protection Standards,How to handle and protect customer personal and financial data.,Customer PII must be encrypted at rest and in transit. Access to customer data requires explicit business justification and manager approval. Customer data must not be copied to personal devices or unauthorized systems. Data retention periods: active customers indefinite. Churned customers 7 years. Anonymize or delete data per the customer data deletion request process within 30 days. Conduct a DPIA for any new processing of sensitive customer data.,Security,"customer-data,gdpr,privacy",published,876
How to Use the Internal LMS,Guide for accessing and completing training courses in the learning management system.,Log in to the LMS at learn.company.com using your SSO credentials. Browse the course catalog or search by topic. Required courses appear in your My Learning dashboard with due dates. Click Enroll to add optional courses. Courses auto-save your progress. Download certificates from the Completed tab. Managers can view team completion rates in the Manager Dashboard. Contact training@company.com to request new courses or report technical issues.,Onboarding,"lms,training,learning",published,876
Infrastructure as Code with Terraform,How to manage cloud infrastructure using Terraform.,All cloud infrastructure is managed as code in the infra repository. Use modules from the internal Terraform registry. Run terraform plan before apply and review all changes. Changes to production require peer review and change management approval. State is stored in S3 with DynamoDB locking. Never run terraform destroy on production. Tag all resources using the tagging module. Modules are versioned use pinned version constraints.,Engineering,"terraform,iac,infrastructure",published,1432
Internal Transfer Policy,Process for requesting and approving internal role transfers.,Employees may apply for internal transfers after 12 months in their current role. Discuss your interest with your current manager before applying. Apply through the internal job board in Workday. The hiring manager conducts interviews. If selected an agreed transition period of 4-8 weeks is standard. Compensation changes follow the standard promotion or lateral transfer guidelines. HR facilitates the process and ensures all parties agree on the timeline.,HR Policies,"transfer,mobility,hr",published,765
API Rate Limiting and Throttling,How rate limits are applied to the public API and what to do when limits are hit.,API rate limits apply per API key. Free tier: 100 requests per minute. Standard: 1000 per minute. Enterprise: 10000 per minute. Rate limit headers X-RateLimit-Limit X-RateLimit-Remaining and X-RateLimit-Reset are returned on every response. When the limit is exceeded a 429 Too Many Requests response is returned. Implement exponential backoff with jitter in your client. Contact sales@company.com to discuss higher limits.,Product,"api,rate-limiting,developers",published,987
Annual Compliance Training Requirements,Mandatory training all employees must complete each year.,The following training modules are required annually: Information Security Awareness (2h). Code of Conduct (1h). Anti-Bribery and Corruption (1h). Data Privacy and GDPR (1h). Workplace Safety (30 min). Due dates are set to December 31st each year. Non-completion results in system access restrictions. Completion status is tracked in the LMS and reported to department heads monthly. New hires must complete all modules within 30 days of start date.,Legal,"compliance,training,mandatory",published,2341
Vendor Management Policy,How to onboard evaluate and manage third-party vendors.,New vendors must complete the vendor onboarding form and provide business insurance and SOC 2 report. Vendors handling company data must sign a DPA. Annual vendor reviews evaluate performance SLA compliance and financial stability. Preferred vendor status requires executive sponsorship. Contracts are managed in the CLM system. Changes to vendor scope require a contract amendment. Off-board vendors by revoking all system access within 24 hours of contract end.,Legal,"vendor,procurement,contracts",published,543
Terraform Module Development Guide,How to write and publish reusable Terraform modules for the internal registry.,Modules must have a README inputs outputs and examples directory. Use semantic versioning for module releases. Inputs must have type constraints and descriptions. Sensitive outputs must be marked sensitive. Include validation blocks for complex input constraints. Test modules using Terratest. Submit modules via pull request to the infra-modules repository. The platform team reviews and publishes approved modules to the internal registry.,Engineering,"terraform,modules,iac",published,765
Mental Health and Wellbeing Resources,Company-provided mental health resources and support programmes.,The company offers 8 free EAP counselling sessions per year through LifeWorks. Access via the EAP portal at eap.company.com or call 1-800-555-0100 available 24/7. Counsellors are available for personal work and family issues. Manager support training is offered quarterly. The Wellbeing Committee hosts monthly events including meditation sessions and lunch-and-learns. If you are in crisis call 988 the Suicide and Crisis Lifeline. Your use of EAP services is confidential.,HR Policies,"mental-health,wellbeing,eap",published,1543
Payment Processing and PCI Compliance,Requirements for systems that handle payment card data.,All payment card data must be processed through our PCI-compliant payment gateway. Never store full card numbers CVV codes or PIN data. Tokenization is used for recurring payments. Systems in scope for PCI must be in the CDE network segment. Quarterly vulnerability scans are required for all in-scope systems. Annual PCI DSS self-assessment questionnaire is completed by IT Security. Report any suspected card data breach to security@company.com immediately.,Security,"pci,payment,compliance",published,654
Product Pricing and Packaging,Current product pricing tiers and what is included in each plan.,Starter plan: $49/month for up to 5 users. Basic features included. Growth plan: $199/month for up to 25 users. Advanced analytics and integrations. Enterprise plan: custom pricing for unlimited users with SLA SSO and dedicated support. All plans include unlimited storage and 99.9% uptime SLA. Annual billing provides a 20% discount. Non-profit and educational discounts of 50% are available. Contact sales@company.com for volume pricing.,Product,"pricing,plans,product",published,1098
SQL Query Optimization Tips,Best practices for writing high-performance SQL queries.,Always use EXPLAIN ANALYZE to profile queries before optimizing. Avoid SELECT * specify only needed columns. Use indexes for columns in WHERE JOIN and ORDER BY clauses. Avoid functions on indexed columns in WHERE conditions. Use EXISTS instead of IN for subqueries with large datasets. Paginate large result sets with LIMIT and OFFSET or keyset pagination. Avoid N+1 queries by using JOIN or eager loading. Review slow query logs weekly in the DBA dashboard.,Engineering,"sql,database,performance",published,1876
Quarterly Business Review Process,How QBRs are structured and what each team should prepare.,QBRs are held in the last week of each quarter. Each department presents: KPIs vs targets. Key achievements and misses. Risks and blockers for the next quarter. Resource requests. Presentations are 20 minutes with 10 minutes of Q&A. Slides must be submitted to the EA office 5 business days before the review. Action items from QBRs are tracked in the company OKR system.,Finance,"qbr,business-review,strategy",published,876
Logging Standards for Applications,How application logs should be structured and stored.,Use structured JSON logging for all services. Required fields: timestamp (ISO 8601) level service_name message request_id. Log levels: ERROR for failures WARN for degraded behaviour INFO for normal operations DEBUG for development only. Do not log passwords tokens or PII. Logs are shipped to Elasticsearch via Fluentd. Retention is 30 days for INFO and 90 days for ERROR and WARN. Query logs in Kibana at logs.internal.,Engineering,"logging,observability,standards",published,987
Employee Referral Program,How to refer candidates and earn referral bonuses.,Refer a candidate by submitting their resume to referrals@company.com with the job title. Use your employee ID in the subject line. Referrals are tracked in Greenhouse. Referral bonus of $2000 is paid after the referred employee completes 90 days. Bonus is paid in the next payroll cycle. Employees may not refer candidates for roles they directly manage. Refer as many candidates as you like. There is no cap on referral bonuses.,HR Policies,"referral,hiring,bonus",published,1234
Cloud Security Posture Management,How we monitor and enforce security standards across cloud accounts.,We use AWS Security Hub and Prisma Cloud for CSPM. All findings above medium severity must be remediated within 30 days. Critical findings must be remediated within 72 hours. Findings are triaged weekly by the cloud security team. New AWS accounts must pass the security baseline check before production use. IaC scanning is integrated into CI to catch misconfigurations before deployment. Monthly CSPM reports are shared with the CISO.,Security,"cloud-security,aws,cspm",published,765
Account Receivable Collections Process,How the AR team manages overdue invoices and collections.,Invoices become overdue at Net 30. Day 31: Automated reminder email sent. Day 45: Account manager notified for customer outreach. Day 60: Formal collections letter sent. Day 90: Account placed on credit hold. New orders blocked until balance paid. Day 120: Referred to third-party collections agency. Write-off requires VP Finance approval. All collection communications are logged in Salesforce. Payment plans may be offered with CFO approval for balances over $10000.,Finance,"accounts-receivable,collections,finance",published,432
Onboarding Buddy Programme,How the buddy system works to support new hire integration.,Each new hire is paired with an onboarding buddy for their first 90 days. Buddies are volunteers from the same or similar team. Buddies check in weekly to answer questions provide context and make introductions. Buddy responsibilities include lunch on Day 1. Tour of the office. Introductions to key colleagues. Sharing team norms and culture. Nominate yourself as a buddy via the HR portal. Buddies receive recognition in the company newsletter.,Onboarding,"buddy,onboarding,culture",published,1654
Penetration Testing Policy,How and when penetration tests are conducted on company systems.,Annual penetration tests are conducted by an approved third-party firm. Scope covers external perimeter internal network web applications and APIs. Pre-engagement: define scope rules of engagement and emergency contacts. During testing: the security team monitors for anomalies. Post-engagement: findings are reported in a CVSS-scored report. Critical and high findings must be remediated within 30 and 90 days respectively. Retests confirm remediation. Results are reviewed by the CISO and CTO.,Security,"pentest,security,audit",published,987
Engineering On-Call Runbook,How to handle the on-call rotation and respond to incidents.,On-call rotation is weekly starting Monday at 9am. Review the PagerDuty schedule at the start of your rotation. For each alert assess severity using the SEV 1-4 scale. SEV-1 page the escalation list and start a war room in Slack. SEV-2 investigate and resolve within 2 hours. SEV-3 create a Jira ticket and resolve within 1 business day. SEV-4 create a ticket for backlog triage. After an incident file a post-mortem within 5 days.,Engineering,"on-call,incident,runbook",published,1432
Contract Review and Approval Process,Legal procedure for reviewing and signing contracts.,All contracts must be reviewed by Legal before signing. Submit contracts to contracts@company.com with the business context. Turnaround is 5 business days for standard contracts and 10 days for complex agreements. Signing authority: under $50000 VP or above. Over $50000 C-suite only. Use the approved contract templates for NDAs MSAs and SOWs available in the Legal SharePoint. Never use a vendor's paper without Legal review. Executed contracts are stored in the CLM system.,Legal,"contracts,legal,procurement",published,543
Accessibility Standards for Digital Products,How to build accessible digital products compliant with WCAG 2.1.,All customer-facing products must meet WCAG 2.1 Level AA. Use semantic HTML elements. Provide alt text for all images. Ensure keyboard navigability for all interactive elements. Colour contrast ratio must be at least 4.5:1 for normal text. Support screen readers by testing with NVDA and VoiceOver. Include captions for all video content. Conduct accessibility audits using axe DevTools before each major release.,Product,"accessibility,wcag,a11y",published,876
Workplace Health and Safety Policy,Company commitment to maintaining a safe workplace for all employees.,Report hazards and near-misses using the safety reporting form in the employee portal. First aid kits are located at each floor reception. Fire wardens are assigned per floor (see posted list). Ergonomic assessments are available by request through HR. Personal protective equipment is provided for roles requiring it. Alcohol and substance use at work are prohibited. Safety drills are conducted twice yearly. Violations of safety standards must be reported to the Facilities team.,HR Policies,"safety,health,workplace",published,1098
Kubernetes Deployment Best Practices,How to configure and deploy applications to the Kubernetes cluster.,Define resource requests and limits for every container. Use liveness and readiness probes. Set replicas to at least 2 for production workloads. Use PodDisruptionBudgets to ensure availability during node maintenance. Store secrets in Kubernetes Secrets or Vault never in ConfigMaps. Use namespaces to separate environments. Apply NetworkPolicies to restrict pod communication. Use HorizontalPodAutoscaler for workloads with variable load. Review deployment manifests in the platform repository.,Engineering,"kubernetes,deployment,devops",published,1654
Anti-Bribery and Corruption Policy,Company policy prohibiting bribery facilitation payments and improper gifts.,The company prohibits all forms of bribery and corruption. Never offer or accept anything of value to influence a business decision. Gifts over $50 must be reported to your manager. Facilitation payments are prohibited even where locally customary. Due diligence on third parties must be completed before engagement. Training is required annually. Violations must be reported to Legal or the ethics hotline immediately. Violations will result in termination and may result in criminal prosecution.,Legal,"anti-bribery,ethics,compliance",published,765
